bathroom,kitchen,essentials,safety,other,diabled friendly,service,id,requirement,outdoor amenity,children,income,group
2,1,11,2,1,0,1,17719353,0,0,0,27498.96 ,1
1,1,3,4,0,0,0,9452700,0,0,0,27421.68 ,1
2,1,7,3,0,0,1,18758370,0,0,0,27145.80 ,1
2,1,9,1,0,0,2,12656371,0,0,0,27144.00 ,1
1,1,9,1,1,0,0,6843556,0,0,0,27135.00 ,1
1,1,9,3,0,0,0,11851560,0,0,0,27120.00 ,1
1,1,7,2,0,0,0,9544410,0,0,0,27066.00 ,1
1,1,6,2,0,0,1,18426530,0,0,0,27011.52 ,1
1,1,7,4,1,0,1,19315218,0,0,0,27000.00 ,1
0,1,5,3,1,0,1,20830933,0,0,0,27000.00 ,1
2,1,8,2,0,0,1,7652936,0,0,0,26961.00 ,1
0,1,6,2,0,0,0,9274832,0,0,0,26754.00 ,1
2,7,9,2,0,0,2,14252531,0,1,0,26745.12 ,1
2,8,12,4,1,0,4,8549106,1,1,0,26520.00 ,1
1,1,4,1,0,0,0,9775055,0,0,0,26376.00 ,1
0,1,4,4,0,0,0,5266888,0,0,0,26292.96 ,1
0,1,4,1,1,0,0,20388226,0,0,0,26280.00 ,1
1,1,5,2,1,0,0,9057892,0,0,0,26124.00 ,1
2,1,9,1,1,0,1,6167682,0,0,0,26002.80 ,1
1,0,6,2,0,0,1,18673347,0,0,0,25956.00 ,1
2,1,6,4,0,0,1,18139702,0,0,0,25943.40 ,1
2,1,7,2,1,1,0,8473221,0,1,0,25848.00 ,1
2,1,7,2,0,0,1,18312558,0,0,0,25724.40 ,1
2,1,6,3,0,0,2,15190865,0,0,0,25681.32 ,1
2,1,7,1,0,0,0,12388494,0,0,0,25632.00 ,1
2,1,7,2,0,0,2,8650772,0,0,0,25596.00 ,1
1,0,7,3,1,2,0,20214549,0,1,0,25545.24 ,1
0,1,6,2,0,0,0,7259638,0,0,0,25536.00 ,1
1,1,3,0,1,0,0,19840329,0,0,0,25530.00 ,1
2,9,12,2,1,0,2,17863480,1,0,0,25515.36 ,1
1,1,9,4,0,0,0,17624418,0,0,0,25428.00 ,1
2,1,9,3,1,0,1,7985333,0,0,0,25095.00 ,1
2,7,7,2,0,0,0,16453520,0,0,0,25080.00 ,1
2,1,7,3,0,0,1,11737916,0,1,0,24996.24 ,1
1,1,10,2,1,1,0,13545656,0,0,0,24996.24 ,1
0,1,3,0,0,0,0,12974423,0,0,0,24948.00 ,1
2,0,7,2,0,0,0,14058054,0,0,0,24948.00 ,1
2,1,9,3,0,0,0,14670074,0,0,0,24948.00 ,1
2,7,6,3,0,0,3,20517554,0,0,0,24948.00 ,1
2,1,5,4,0,0,1,15543169,0,0,0,24935.04 ,1
2,1,7,1,0,0,0,11552389,0,0,0,24912.00 ,1
2,1,7,4,0,0,0,19472799,0,0,0,24768.00 ,1
0,1,3,1,0,0,0,16941279,0,0,0,24724.20 ,1
2,1,10,4,0,0,1,16111812,0,0,0,24672.00 ,1
1,1,7,1,0,0,0,9348579,0,0,0,24654.84 ,1
2,1,9,0,1,0,0,15101317,0,1,0,24570.00 ,1
0,1,5,4,0,0,0,10635663,0,0,0,24516.00 ,1
1,1,8,1,2,0,0,18543371,0,0,0,24480.00 ,1
1,1,6,3,0,0,0,4937904,0,0,0,24448.08 ,1
0,1,7,1,0,0,1,14175040,0,0,0,24401.52 ,1
2,1,7,1,1,0,0,18419614,0,1,0,24345.36 ,1
0,1,3,1,0,0,1,8146498,0,0,0,24288.00 ,1
1,6,7,4,0,0,1,18824820,0,0,0,24090.00 ,1
2,0,5,4,1,0,0,9428922,0,1,0,24079.80 ,1
1,1,9,3,0,0,0,8609890,0,0,0,24030.72 ,1
0,1,7,1,0,0,0,20679565,0,0,0,23988.00 ,1
1,1,3,1,0,0,0,18080436,0,0,0,23961.60 ,1
0,1,8,3,0,0,0,20865799,0,0,0,23952.00 ,1
1,1,8,1,0,0,0,7043817,0,1,0,23856.00 ,1
2,1,4,3,0,0,1,20572603,0,1,0,23805.60 ,1
2,1,6,4,0,0,0,19299790,0,0,0,23805.00 ,1
1,1,4,1,0,0,1,17333829,0,0,0,23652.00 ,1
1,1,5,0,0,0,0,13078772,0,0,0,23616.00 ,1
1,1,5,2,0,0,1,19051203,0,0,0,23570.28 ,1
1,1,6,0,0,0,0,8813854,0,0,0,23556.00 ,1
2,9,12,0,3,0,4,5925343,0,1,0,23400.00 ,1
1,1,7,2,0,0,0,13745923,0,0,0,23400.00 ,1
2,8,10,5,0,0,3,14716586,1,1,0,23400.00 ,1
