id,nice_facility,friendly_host,flexible_time,adequate_amenity,convenient_tranposrtation,highly_recommended,easy_acess,prepare_essentials,match_description,nice_neighborhood,good_location,like_home
20933335,4,1,1,1,2,2,2,1,1,1,2,1
763546,38,28,28,10,18,94,96,75,7,32,27,38
14710763,51,22,34,23,29,87,95,53,21,42,30,23
17108306,7,3,0,2,1,9,12,6,1,2,2,6
848722,34,8,6,18,11,31,36,12,6,11,7,3
14301315,50,28,25,41,24,106,106,74,18,39,20,12
17281922,43,22,10,18,24,80,54,50,12,17,20,8
10657080,20,17,7,20,8,54,48,31,5,11,14,15
6759052,1,0,1,0,0,5,3,1,0,0,0,0
17107329,58,16,21,33,23,59,60,37,13,20,14,12
860827,296,133,119,124,161,439,426,309,91,174,93,159
12749145,8,6,1,0,1,10,7,9,3,0,2,0
15916931,22,8,2,12,8,21,24,12,4,7,12,5
11213679,1,1,0,0,0,2,5,1,1,0,0,1
3600961,6,0,4,3,3,5,5,5,1,3,7,4
666220,10,4,3,8,5,17,18,9,4,2,1,4
20693444,1,0,0,1,0,0,1,1,0,0,0,1
17902970,68,23,24,34,11,96,111,56,19,16,24,10
4624652,6,3,4,5,6,18,15,7,2,5,5,10
2957425,121,66,69,47,65,221,244,127,30,63,62,50
4341158,25,9,10,1,6,33,41,23,7,9,10,13
10732341,19,4,12,6,1,25,32,18,6,10,2,0
20149318,1,4,3,0,2,8,7,5,0,3,3,1
805218,57,19,16,38,15,71,56,48,17,20,16,29
12761910,70,15,31,27,31,83,92,65,17,34,29,22
10684258,79,31,18,13,27,115,118,65,31,30,28,12
18550867,12,12,8,4,1,25,19,20,3,2,6,8
6590197,5,5,3,3,0,21,24,13,1,1,7,0
15597119,5,2,0,0,4,7,6,4,0,3,2,0
14375661,62,19,37,15,32,52,59,38,11,25,25,23
18710945,11,12,15,12,6,27,23,22,9,11,13,6
16413354,9,4,4,1,7,24,30,10,3,11,3,2
9716424,19,7,4,6,3,24,24,8,1,5,3,18
15263461,85,16,21,41,29,94,89,61,20,29,15,19
1069758,89,34,38,52,43,93,94,80,10,45,28,42
15186968,74,27,22,40,24,82,98,39,15,24,21,23
13314206,6,1,0,0,4,8,12,4,1,9,2,3
11858737,3,1,0,2,0,2,0,2,1,0,0,0
4977756,4,5,4,1,8,9,9,10,0,10,2,5
6811778,27,15,12,9,18,49,51,26,10,17,10,12
6269517,68,31,34,39,46,117,130,86,24,43,30,27
5696100,35,7,7,14,11,26,32,13,8,16,11,11
16826741,1,1,1,1,0,4,5,1,1,0,0,0
7203672,9,4,4,4,1,12,13,13,1,3,2,4
4351563,5,6,1,0,1,14,13,6,2,3,7,1
19805091,4,3,3,1,0,10,6,8,1,2,2,2
18611509,0,2,0,0,0,2,2,0,0,0,4,1
3540722,240,104,145,90,104,441,457,301,59,138,116,101
19968857,2,2,0,1,1,2,12,2,1,2,0,2
5704948,108,29,56,43,66,121,142,105,14,48,34,40
18628272,44,22,20,18,12,64,56,48,10,8,14,12
15713943,34,17,7,24,12,48,41,31,2,12,12,5
4726893,16,6,6,3,2,26,21,22,3,4,6,4
17284675,19,7,5,0,4,30,13,22,5,3,9,7
14246370,4,6,1,1,3,20,12,11,2,3,3,7
55236,7,4,2,5,2,23,22,11,3,5,4,3
19603759,3,1,0,2,0,2,1,1,0,0,0,0
7956593,16,0,2,1,1,6,10,5,0,3,2,3
5826716,119,61,61,121,79,204,253,121,32,81,71,43
19332658,7,6,2,5,7,11,12,7,1,3,9,9
196100,102,47,40,48,36,98,95,102,10,35,37,37
7483049,15,2,4,11,3,11,10,4,1,6,3,6
14070967,30,12,13,17,33,54,71,35,12,26,13,8
17996373,37,18,15,13,15,39,38,37,12,18,17,23
14788846,45,20,18,15,12,47,41,40,11,11,18,15
1561968,10,2,3,5,7,9,12,7,2,6,5,5
15862199,32,17,9,11,26,64,65,36,9,24,19,13
100186,112,77,55,49,82,211,205,153,50,80,66,59
